ids,w2clsids,schids,ctyids,w2frame,w2subsample,w2cogscore,w2cog3pl,w2chn,w2upchn,w2mat,w2upmat,w2eng,w2upeng,w2a01,w2a02,w2a03,w2a05,w2a0701,w2a0702,w2a0703,w2a0704,w2a0705,w2a0706,w2a0707,w2a0708,w2a0801,w2a0801a,w2a0802,w2a0802a,w2a0802b,w2a0802c01,w2a0802c02,w2a0802c03,w2a0803,w2a0803a,w2a0804,w2a0804a,w2a16,w2a17,w2a2001,w2a2002,w2a2003,w2a2004,w2a2005,w2a2006,w2a2101a,w2a2101b,w2a2102a,w2a2102b,w2a2103a,w2a2103b,w2a2104a,w2a2104b,w2a22,w2a23,w2a24,w2a27,w2a28,w2a29,w2a30,w2a31,w2a32,w2b1401,w2b1402,w2b1403,w2b1404,w2b1405,w2b1406,w2b15,w2b16,w2b18,w2b19,w2b20,w2b21,,w2ba01,w2ba0201,w2ba0202,w2ba0203,w2ba0204,w2ba0205,w2ba0206,w2ba0207,w2ba0208,w2ba11,w2ba12,w2ba13,w2ba1400,w2ba1401,w2ba1401a,w2ba1402,w2ba1402a,w2ba1403,w2ba1403a,w2ba1404,w2ba1404a,w2ba1405,w2ba1405a,w2ba1500,w2ba1501,w2ba1501a,w2ba1502,w2ba1502a,w2ba1503,w2ba1503a,w2ba1504,w2ba1504a,w2ba1505,w2ba1505a,w2ba1600,w2ba1601,w2ba1601a,w2ba1602,w2ba1602a,w2ba1603,w2ba1603a,w2ba1604,w2ba1604a,w2ba1605,w2ba1605a,w2ba1701,w2ba1702,w2ba1703,w2ba1704,w2ba1705,w2ba1706,w2ba18,w2ba21,w2ba22,w2ba24,w2ba2601,w2ba2602,w2ba2603,w2ba2604,w2ba29,w2ba30,w2ba31,w2ba32,w2bb1401,w2bb1402,w2bb1403,w2bb1404,w2bb1405,w2bb1406,w2bb1407,w2bb15,w2bb16,w2bb17,w2bb18,w2bb19,w2bb20,w2bc01a,w2bc0201,w2bc0202,w2bc0203,w2bc0203a,w2bc0204,w2bc0205,w2bc09,w2bd01,w2bd02,w2be02,w2be03,w2be04,w2be06,w2be07,w2be08,w2be09,w2be11,w2be12,w2be13,w2be15,w2be16,w2be17,w2be18,w2be23,w2be24,w2be25,w2be33,w2be34,w2be35,w2be36
11645,502,72,18,1,1,19,-0.205934003,91,120,99,120,44,120,1,1,1,1,1,1,0,0,0,1,0,0,1,2,0,,,,,,0,,0,,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,6,3,1,8,2,0,0,0,0,1,0,1,1,7,3,4,3,,5,0,0,0,0,0,1,0,0,6,1,1,0,0,,0,,0,,1,3,0,,1,0,,0,,0,,0,,0,,1,0,,0,,0,,0,,0,,2,2,1,1,2,2,2,2,0,,2,1,1,1,9,1,4,2,0,0,0,0,0,1,0,3,3,3,3,1,1,0,1,0,0,,0,0,,1,1,1,1,1,1,3,3,8,1,1,1,1,3,3,11,3,2,2,5,7,1,2
11646,503,72,18,1,1,20,-0.437034011,59,120,23,120,32,120,1,1,1,2,0,0,0,0,1,1,0,0,1,1,0,,,,,,0,,0,,2,1,3,2,2,1,1,1,1,2,1,1,1,2,1,2,2,2,2,3,5,3,14,2,2,0,0,0,0,1,0,1,1,10,13,7,2,,5,0,0,0,0,1,1,0,0,5,1,1,0,0,,0,,0,,1,2,0,,1,0,,0,,0,,0,,0,,1,0,,0,,0,,0,,0,,2,1,1,1,2,2,4,2,0,1,2,2,1,2,5,13,7,2,0,0,1,1,0,0,0,,,,,,,0,1,0,0,,0,1,,1,1,1,1,1,1,3,6,10,1,1,1,1,3,6,10,2,2,3,5,7,1,2
11647,,72,18,1,1,0,,,120,,120,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11648,503,72,18,1,1,21,0.206619993,73,120,18,120,17,120,1,1,1,1,1,0,0,0,0,1,0,0,1,2,0,,,,,,0,,0,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,,4,5,1,9,,2,0,0,0,0,1,0,1,1,5,9,4,4,,5,0,0,0,0,0,0,1,0,6,1,1,0,0,,0,,0,,1,2,0,,1,0,,0,,0,,0,,0,,1,0,,0,,0,,0,,0,,2,2,2,2,2,2,3,2,0,1,2,2,2,2,5,9,4,3,1,1,0,1,0,1,0,2,2,3,3,3,3,,1,0,0,,0,0,3,1,1,1,1,1,1,3,2,10,1,2,1,,3,3,10,3,1,3,5,7,1,1
11650,502,72,18,1,1,17,-0.604269028,27,120,18,120,16,120,1,1,1,,0,0,0,0,0,1,0,0,1,2,0,,,,,,0,,0,,2,1,3,3,2,3,3,1,2,2,3,3,3,3,3,3,3,3,2,3,9,4,4,5,4,1,0,0,0,0,0,1,3,9,4,5,1,,5,0,0,0,0,0,0,1,0,3,1,1,0,0,,0,,0,,1,12,0,,1,0,,0,,0,,0,,0,,1,0,,0,,0,,0,,0,,2,3,3,2,3,2,1,2,0,1,2,2,3,2,9,4,4,3,0,0,0,0,0,1,0,1,1,3,3,1,1,0,1,0,0,,0,0,,1,1,1,2,1,1,3,5,8,1,2,1,1,3,5,5,3,2,3,5,7,1,2
11651,502,72,18,1,1,18,-0.508427024,76,120,43,120,28,120,1,1,1,2,1,1,0,0,1,1,0,0,1,1,0,,,,,,0,,0,,2,1,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,6,2,7,4,8,5,4,0,0,1,0,0,0,2,1,7,1,5,4,,1,1,1,0,0,0,0,0,0,6,3,3,0,1,2,1,3,1,4,1,11,0,,0,1,1,1,1,0,,1,1,0,,0,1,1,1,1,1,1,1,1,0,,2,2,2,2,2,2,1,2,0,1,2,2,2,2,6,8,5,4,0,0,1,0,0,1,0,2,2,3,3,1,1,0,1,0,0,,0,0,4,1,1,1,1,1,1,1,2,7,1,1,1,1,1,3,7,2,2,2,5,7,1,2
11652,,72,18,1,1,0,,,120,,120,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11653,,72,18,1,1,0,,,120,,120,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11654,502,72,18,1,1,20,0.075075001,95,120,107,120,77,120,1,1,1,2,1,1,0,0,1,1,0,0,1,1,0,,,,,,0,,0,,2,1,2,3,2,2,3,3,2,2,2,2,3,3,2,3,3,3,6,2,8,2,4,5,3,1,0,1,0,0,0,1,3,8,4,5,3,,2,1,1,0,0,1,1,0,0,6,3,4,0,1,8,1,13,0,,1,9,0,,0,1,2,1,3,0,,0,,0,,0,0,,1,2,1,3,0,,0,,2,3,2,3,3,3,4,2,0,1,2,2,3,2,8,4,5,3,1,1,0,0,0,1,0,2,2,3,3,1,1,,1,0,0,,0,0,1,1,1,1,1,1,1,3,6,8,1,1,1,1,3,3,9,3,2,2,5,7,1,1
11655,,72,18,1,1,0,,,120,,120,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11656,503,72,18,1,1,32,1.566856027,94,120,112,120,58,120,1,1,1,2,1,1,0,0,1,0,0,0,1,1,0,,,,,,0,,0,,2,1,2,2,1,2,2,2,2,2,2,2,1,3,2,2,3,2,6,2,7,2,2,3,,0,0,1,0,1,0,1,1,6,11,3,3,,2,1,1,0,0,1,0,0,0,6,1,1,0,1,2,1,2,0,,1,1,0,,0,1,1,1,1,0,,1,1,0,,0,1,2,1,2,1,3,1,1,0,,3,3,2,2,3,3,4,2,0,1,3,3,3,3,6,13,7,4,1,1,0,0,0,1,0,3,3,3,3,1,1,1200,0,0,0,,0,1,,1,1,1,1,1,1,1,6,10,1,1,1,1,3,3,10,3,2,3,5,7,1,2
11657,502,72,18,1,1,25,0.787028015,97,120,101,120,64,120,1,1,1,2,0,1,0,0,0,0,0,0,1,1,0,,,,,,0,,0,,2,1,2,3,1,1,2,1,2,3,2,3,2,3,2,1,2,3,6,2,7,2,6,4,3,0,0,0,0,1,0,1,1,7,13,4,4,,2,1,1,0,0,0,0,0,0,6,2,3,0,0,,1,4,0,,0,,0,,0,0,,0,,1,1,0,,0,,0,0,,1,2,0,,0,,0,,3,3,2,1,3,2,4,2,0,1,2,1,3,2,9,4,7,3,0,0,0,0,0,1,0,3,3,3,3,1,1,0,1,0,0,,0,0,1,1,1,1,1,1,1,3,3,10,1,1,1,1,3,3,10,2,2,2,5,7,1,2
11658,503,72,18,1,1,19,-0.350937992,82,120,33,120,34,120,1,1,1,2,1,1,0,0,1,0,0,0,1,1,0,,,,,,0,,0,,2,1,2,2,2,3,3,2,2,3,1,2,2,2,1,1,3,3,6,3,5,2,13,3,2,0,0,1,0,0,0,1,1,5,11,3,2,,1,1,1,0,0,1,0,1,0,6,1,1,0,1,2,1,2,1,1,1,1,0,,0,1,1,1,1,1,1,1,1,0,,0,1,2,1,2,1,2,0,,0,,2,2,2,3,3,2,4,2,0,1,2,2,3,1,6,11,3,3,1,1,0,1,0,1,0,3,3,,3,1,1,,1,0,1,,0,0,,1,1,1,1,1,1,3,4,10,1,1,1,1,3,4,10,3,2,2,5,7,1,2
11659,502,72,18,1,1,17,-0.863247991,68,120,41,120,24,120,1,1,1,2,0,1,0,0,1,1,0,0,1,1,0,,,,,,0,,0,,2,1,2,3,2,2,3,3,1,3,1,2,2,3,1,1,1,2,6,3,4,4,9,8,2,0,0,1,0,0,0,1,1,3,7,4,3,,2,1,0,0,0,1,0,0,0,6,1,1,0,0,,1,,0,,0,,0,,0,0,,1,1,0,,0,,0,,0,0,,1,2,0,,0,,0,,2,2,2,,3,2,4,2,0,1,3,3,3,3,8,7,4,2,1,1,0,1,0,1,0,3,3,3,3,1,1,0,0,0,0,,0,1,,1,3,1,1,3,1,3,3,10,1,1,3,1,3,3,10,3,2,3,5,7,1,2
11660,503,72,18,1,1,23,-0.01718,65,120,27,120,32,120,1,1,1,2,0,1,1,0,1,0,0,0,0,,1,,2,0,1,0,0,,0,,2,1,2,2,3,3,2,2,2,2,1,2,1,2,2,2,2,3,6,3,5,2,13,3,3,0,0,1,0,0,0,1,3,3,11,3,2,,2,0,1,1,0,1,0,0,0,5,1,1,0,1,1,1,6,0,,0,,0,,1,0,,0,,0,,0,,0,,0,1,1,1,2,0,,0,,0,,2,2,2,3,3,2,2,2,0,1,2,2,2,1,7,4,3,2,1,1,0,0,0,1,1,3,3,3,3,1,1,,1,0,1,,0,0,,1,1,1,1,1,1,3,3,10,1,1,1,1,3,2,10,2,2,2,5,7,1,
11661,503,72,18,1,1,21,-0.371192992,13,120,28,120,18,120,1,1,1,2,0,1,0,0,0,0,0,0,1,1,0,,,,,,0,,0,,2,1,2,2,1,1,3,1,1,2,1,2,2,2,2,1,2,2,4,4,2,2,14,3,2,0,0,0,0,1,0,1,1,3,5,3,3,,2,0,1,0,0,0,0,0,0,4,2,2,0,0,,1,8,0,,0,,0,,0,0,,1,1,0,,0,,0,,0,0,,0,,1,5,0,,0,,2,2,1,1,3,1,4,2,0,1,2,2,2,1,3,5,3,3,0,0,0,1,0,1,0,,,,,,,0,0,0,0,,0,1,,1,1,1,1,1,1,3,3,10,1,1,1,1,3,3,10,3,2,3,5,7,1,2
11662,502,72,18,1,1,17,-0.69788003,31,120,64,120,27,120,1,1,1,2,0,1,0,0,1,0,0,0,1,1,0,,,,,,0,,0,,2,1,2,2,1,2,3,1,2,2,2,2,2,2,1,1,2,2,6,2,3,2,14,3,3,0,0,0,0,1,0,1,1,3,5,3,3,,2,0,1,0,0,1,1,0,0,6,2,1,1,0,,0,,0,,0,,0,,1,0,,0,,0,,0,,0,,1,0,,0,,0,,0,,0,,2,2,2,2,2,2,2,2,0,1,2,2,2,2,3,5,2,2,1,1,0,0,0,0,0,3,3,3,3,4,4,,,,,,,,,,,1,2,1,1,2,3,10,1,1,1,1,2,6,10,2,2,2,5,7,1,2
11663,503,72,18,1,1,19,-0.270624012,54,120,17,120,10,120,1,1,1,1,0,0,0,0,0,1,0,0,0,,1,,1,0,0,1,0,,0,,2,2,2,2,1,2,3,3,2,,1,,2,,1,,3,,2,4,3,3,8,8,3,0,0,0,0,1,0,1,1,3,8,4,3,,5,0,0,0,0,0,1,0,0,6,2,2,0,0,,0,,0,,1,4,0,,0,0,,0,,0,,1,4,0,,0,0,,0,,0,,1,3,0,,3,3,,2,,2,4,2,0,1,3,3,3,3,3,8,7,,1,1,0,0,0,0,0,3,3,3,3,1,,27,,,,,,,4,1,1,1,1,1,1,2,3,6,1,1,1,1,2,3,9,2,,2,5,7,1,2
11664,502,72,18,1,1,13,-1.054502964,66.5,120,23,120,33,120,1,3,1,2,1,1,0,0,0,0,0,0,0,,1,0,,,,,0,,0,,2,1,2,2,3,2,3,3,2,2,2,2,1,2,1,1,2,3,5,2,7,2,9,4,2,0,0,1,1,1,0,2,3,7,9,4,3,,1,1,1,0,0,0,0,0,0,5,1,1,0,1,12,1,24,0,,0,,0,,1,0,,0,,0,,0,,0,,1,0,,0,,0,,0,,0,,3,2,3,2,3,3,3,2,0,,2,2,2,2,6,13,7,4,1,1,0,0,0,0,0,1,2,1,3,1,1,,0,0,0,,0,1,1,1,1,1,1,1,1,3,3,10,1,1,1,1,3,2,10,1,2,1,5,7,1,1
11666,503,72,18,1,1,25,-0.177590996,73,120,32,120,22,120,1,1,,2,1,1,0,0,1,0,0,0,1,1,0,,,,,,0,,0,,2,2,2,3,1,1,3,2,2,2,1,1,2,1,1,1,2,1,6,2,6,5,11,4,2,0,0,1,0,0,1,,1,5,12,,,,1,1,1,0,0,1,0,0,0,6,3,3,0,0,,1,2,0,,0,,0,,0,0,,1,2,0,,0,,0,,1,0,,0,,0,,0,,0,,3,3,1,2,3,3,4,2,0,1,2,2,2,2,8,1,5,3,0,0,1,0,0,1,1,,,,,,,400,1,0,0,,0,0,,2,1,1,1,1,1,,3,2,1,1,,1,3,3,12,,,,,,,
11667,,72,18,1,1,0,,,120,,120,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11668,502,72,18,1,1,24,0.736570001,68,120,68,120,33,120,1,1,1,2,0,1,0,0,0,1,0,0,1,2,0,,,,,,0,,0,,2,1,2,2,1,2,3,2,3,2,2,3,3,2,2,3,3,3,5,3,4,2,11,1,1,0,0,0,0,1,0,1,1,5,11,5,2,,2,0,1,0,0,0,1,0,0,5,2,1,0,0,,1,2,0,,0,,0,,1,0,,0,,0,,0,,0,,1,0,,0,,0,,0,,0,,2,2,,2,3,2,2,2,0,1,1,2,2,3,4,11,3,2,0,0,1,0,0,1,1,3,2,3,3,1,1,,1,0,0,,0,0,,1,1,1,1,1,1,1,6,7,1,1,1,1,2,3,10,3,1,2,5,7,1,2
11669,503,72,18,1,1,22,0.012888,79,120,44,120,32,120,1,3,1,2,1,1,0,0,1,0,0,0,1,1,0,,,,,,0,,0,,2,1,2,3,2,2,2,2,2,2,2,2,3,2,2,2,3,3,6,2,8,4,9,4,4,0,0,1,0,1,0,1,1,8,9,6,4,,2,0,0,0,0,1,0,0,1,6,3,1,0,1,1,0,,0,,0,,0,,1,0,,0,,0,,0,,0,,1,0,,0,,0,,0,,0,,2,3,3,2,2,2,4,,60000,1,2,2,2,2,9,9,4,4,0,0,0,1,1,0,0,,,,,,,1200,1,0,0,,0,0,,1,3,1,2,3,1,,3,10,1,2,3,1,3,3,10,3,2,3,5,7,1,2
11670,503,72,18,1,1,10,-1.109977961,69,120,38,120,25,120,1,1,1,1,,,,,,,,,0,,0,,,,,,0,,1,2,2,2,2,2,1,2,3,2,2,,1,,1,,2,,2,,5,2,4,4,9,8,3,0,0,1,0,0,0,1,1,5,9,5,3,,1,0,0,0,0,0,0,1,0,5,1,1,0,0,,0,,0,,1,,0,,1,0,,0,,0,,0,,0,,1,0,,0,,0,,0,,0,,2,2,2,2,2,2,4,2,,1,2,2,2,2,5,8,3,3,1,1,0,0,1,1,0,3,3,3,3,1,1,,1,0,1,,0,0,1,1,1,1,1,1,1,3,6,10,1,1,1,1,3,1,10,,,,,,,
11671,503,72,18,1,1,32,1.152356029,101,120,114,120,82,120,1,1,1,2,1,1,0,0,1,0,0,0,1,1,0,,,,,,0,,0,,2,1,2,2,2,2,3,2,2,3,2,3,2,2,3,3,2,3,6,1,8,2,2,5,4,0,0,1,0,0,0,1,1,8,3,5,3,,1,1,1,0,0,1,0,0,0,6,2,2,0,1,3,1,5,1,1,0,,0,,0,1,1,1,2,0,,0,,0,,0,1,1,1,2,0,,0,,0,,3,3,2,2,2,2,4,2,0,1,3,2,2,3,8,3,4,4,0,1,0,0,0,1,0,2,2,3,3,1,1,0,1,0,1,600,0,0,,1,1,1,1,1,1,3,3,9,1,1,1,1,3,3,13,2,2,2,5,7,1,2
11672,503,72,18,1,1,25,0.520596981,104.5,120,117,120,82,120,1,1,1,2,1,1,0,0,1,1,0,0,1,1,0,,,,,,0,,0,,2,1,2,2,1,2,2,2,2,3,2,3,2,2,2,2,3,3,6,1,6,4,3,5,3,0,0,1,0,1,0,1,1,6,6,5,2,,2,1,1,0,0,1,1,0,0,6,3,1,0,0,,1,2,0,,0,,0,,1,0,,0,,0,,0,,0,,0,1,1,1,2,1,3,0,,0,,2,2,2,2,2,2,4,2,0,1,2,2,2,2,8,4,5,3,1,1,0,1,0,1,1,3,3,3,3,1,1,0,1,0,0,,0,0,,1,1,1,1,1,1,3,3,9,1,1,1,1,3,6,10,2,2,3,5,7,1,
