w2cog3pl,w2stdchn,w2stdmat,w2stdeng,w2stdtotal,w2a01,w2a03,w2a05,w2a0801,w2a16,w2a17,w2a2001,w2a2002,w2a2003,w2a2004,w2a2005,w2a2006,w2a2101a,w2a2101b,w2a2102a,w2a2102b,w2a2103a,w2a2103b,w2a2104a,w2a2104b,w2a22,w2a23,w2a27,w2a28,w2a29,w2a32,w2b18,w2b19,w2b20,w2b21,w2ba11,w2ba12,w2ba13,w2ba1400,w2ba1401,w2ba1402,w2ba1403,w2ba1404,w2ba1405,w2ba1500,w2ba1501,w2ba1502,w2ba1503,w2ba1504,w2ba1505,w2ba1701,w2ba1702,w2ba1703,w2ba1704,w2ba1705,w2ba1706,w2ba18,w2ba21,w2ba24,w2ba2601,w2ba2602,w2ba2603,w2ba2604,w2ba29,w2ba30,w2ba31,w2ba32,w2bb15,w2bb16,w2bb17,w2bb18,w2bb19,w2bb20,w2bc0201,w2bc0202,w2bc0203,w2bc0204,w2bc0205,w2bd01,w2bd02,w2be02,w2be03,w2be04,w2be06,w2be07,w2be08,w2be09,w2be11,w2be12,w2be13,w2be15,w2be16,w2be17,w2be18,w2be23,w2be24,w2ba09,w2ba10
0.354882985,0.430524175,-0.556295617,-0.62043471,-0.430189948,1,0,1,1,1,0,2,2,2,2,3,3,2,2,2,2,2,2,3,3,3,3,4,7,5,2,7,11,5,1,,3,4,0,0,1,0,0,0,0,0,1,0,0,0,2,3,2,1,3,3,4,0,0,3,2,3,3,7,2,5,3,3,3,3,3,1,1,1,0,0,0,0,2,2,1,1,2,2,,2,11,1,1,2,2,3,2,13,1,1,1,1
0.484746009,1.002321497,0.622339599,-0.488848029,0.288299606,0,0,0,1,1,0,2,2,1,1,2,2,2,2,2,2,2,2,2,2,3,2,2,7,2,4,7,9,5,4,5,3,1,1,0,0,0,0,0,1,0,0,0,0,0,2,2,2,2,2,2,4,1,1,2,2,2,2,7,9,5,4,1,1,1,3,1,1,0,0,0,0,1,1,3,1,1,3,1,3,8,6,1,1,3,1,3,8,6,3,1,1,0
0.272132993,1.247377492,0.622339599,0.739294327,0.87443582,0,0,0,1,1,0,2,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,2,7,2,4,7,2,5,3,6,3,4,0,0,1,0,0,0,1,0,0,0,0,0,2,3,3,3,2,2,4,0,1,3,3,3,3,8,2,5,4,3,3,3,3,2,2,,,,,,2,3,1,1,3,2,3,7,2,1,2,3,2,1,7,2,4,1,1,1
0.675570011,1.002321497,-0.051166238,-0.006363532,0.193761506,0,0,0,1,1,0,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,7,2,3,7,13,5,3,6,4,4,0,0,1,0,0,0,1,0,0,0,0,0,3,3,3,3,3,3,2,0,1,2,2,2,2,7,4,5,4,1,1,3,3,1,1,1,0,0,0,0,1,2,1,1,3,1,3,7,8,1,1,3,1,3,5,7,3,0,1,0
0.866638005,1.410748156,0.159304336,0.300672057,0.515191044,0,0,0,0,1,1,3,3,2,2,2,2,,3,,2,,3,,2,1,3,1,7,2,3,7,6,5,2,6,3,3,0,0,1,0,0,0,0,0,1,0,0,0,2,2,3,2,3,2,4,0,1,3,3,3,3,7,2,5,3,3,3,3,3,1,1,0,0,0,0,1,1,3,1,1,3,1,3,4,,1,1,2,1,3,7,2,3,1,1,1
0.78776598,1.165692161,-0.051166238,0.081360922,0.269391986,0,0,0,1,1,0,2,2,2,1,3,2,2,3,2,3,2,3,3,3,3,3,2,7,3,2,10,9,6,2,6,3,3,0,0,1,0,0,0,0,0,1,0,0,0,2,2,2,2,3,1,2,1,1,,,,,7,4,5,3,3,3,3,3,1,1,0,0,0,0,1,1,1,1,1,2,1,3,7,7,1,1,1,1,3,7,7,3,1,1,1
1.16859901,1.737489483,0.580245484,0.739294327,0.968973919,1,0,1,1,1,0,2,2,2,1,2,1,2,2,2,2,3,2,2,2,3,3,1,7,3,3,8,2,5,3,5,1,2,0,1,1,0,0,0,0,1,0,0,0,0,2,2,2,2,2,2,4,1,,2,2,2,2,6,13,5,3,3,3,3,3,2,2,0,0,1,0,0,2,1,1,1,1,2,3,3,12,1,1,1,2,3,3,12,3,1,0,0
0.396587014,-0.141273148,0.18770734,-0.401123575,-0.751619485,0,0,0,1,1,0,3,3,2,3,3,3,2,3,2,3,2,3,2,3,3,3,2,7,2,3,7,2,6,3,6,3,3,0,1,1,0,0,0,1,0,0,0,0,0,2,2,2,2,3,3,4,0,1,3,3,3,2,8,2,6,4,,,,,,,0,0,0,0,1,1,2,1,1,2,1,3,6,6,1,1,2,2,3,8,14,3,1,1,0
1.298820972,0.103782848,-0.009072124,0.607707646,0.269391986,0,0,0,1,1,0,3,3,2,2,2,1,3,2,3,2,2,1,1,2,3,3,2,7,2,4,7,3,5,3,6,2,3,0,1,1,0,0,0,0,1,1,0,0,0,2,2,2,2,2,2,4,1,1,3,3,3,2,7,4,5,3,3,3,3,3,1,1,1,0,0,0,0,1,2,1,1,2,1,3,3,9,1,1,2,2,3,6,7,3,1,1,0
0.65971899,0.593894838,0.033021991,-0.094087986,0.099223407,1,0,1,1,1,0,2,2,2,2,2,1,3,2,2,2,2,2,2,1,3,2,2,7,2,3,8,4,5,3,6,2,1,0,1,1,0,0,0,1,1,1,0,0,0,2,3,2,2,,,2,1,1,2,3,3,3,8,2,5,3,2,2,3,3,1,1,0,0,0,0,1,2,1,1,1,1,2,3,4,12,1,1,1,2,3,3,12,3,1,1,1
