,w2cog3pl,w2stdchn,w2stdmat,w2stdeng,w2stdtotal,w2a01,w2a03,w2a05,w2a0801,w2a16,w2a17,w2a2001,w2a2002,w2a2003,w2a2004,w2a2005,w2a2006,w2a2101a,w2a2101b,w2a2102a,w2a2102b,w2a2103a,w2a2103b,w2a2104a,w2a2104b,w2a22,w2a23,w2a27,w2a28,w2a29,w2a32,w2b18,w2b19,w2b20,w2b21,w2ba11,w2ba12,w2ba13,w2ba1400,w2ba1401,w2ba1402,w2ba1403,w2ba1404,w2ba1405,w2ba1500,w2ba1501,w2ba1502,w2ba1503,w2ba1504,w2ba1505,w2ba1701,w2ba1702,w2ba1703,w2ba1704,w2ba1705,w2ba1706,w2ba18,w2ba21,w2ba24,w2ba2601,w2ba2602,w2ba2603,w2ba2604,w2ba29,w2ba30,w2ba31,w2ba32,w2bb15,w2bb16,w2bb17,w2bb18,w2bb19,w2bb20,w2bc0201,w2bc0202,w2bc0203,w2bc0204,w2bc0205,w2bd01,w2bd02,w2be02,w2be03,w2be04,w2be06,w2be07,w2be08,w2be09,w2be11,w2be12,w2be13,w2be15,w2be16,w2be17,w2be18,w2be23,w2be24,w2ba09,w2ba10
529,0.858363986,-0.631385138,0.411869025,0.651569873,0.307207225,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,4.0,3.0,7.0,5.0,6.0,3.0,6.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,0.0,0.0,2.0,2.0,2.0,3.0,7.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,6.0,13.0,1.0,1.0,3.0,1.0,3.0,4.0,13.0,2.0,0.0,1.0,0.0
530,1.798298001,1.165692161,1.127468978,1.309503278,1.328218696,0.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,9.0,3.0,3.0,9.0,4.0,5.0,3.0,6.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,3.0,3.0,5.0,0.0,1.0,3.0,3.0,3.0,3.0,9.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,8.0,1.0,1.0,1.0,2.0,1.0,1.0,9.0,3.0,3.0,1.0,1.0,1.0
532,1.217862964,0.920636165,0.7907160590000001,0.8270187809999999,0.91225106,0.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,8.0,2.0,4.0,8.0,2.0,6.0,4.0,6.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,0.0,1.0,2.0,3.0,2.0,2.0,8.0,2.0,5.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,8.0,3.0,1.0,1.0,2.0,1.0,3.0,8.0,4.0,3.0,1.0,1.0,1.0
533,1.6518939730000002,1.002321497,0.959092518,0.9586054620000001,1.063512019,0.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,7.0,2.0,2.0,8.0,11.0,6.0,3.0,6.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,0.0,1.0,3.0,3.0,3.0,3.0,8.0,1.0,5.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,7.0,14.0,1.0,1.0,2.0,1.0,2.0,9.0,4.0,3.0,1.0,1.0,1.0
534,1.508625031,1.002321497,0.622339599,1.13405437,0.9878815390000001,0.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,7.0,4.0,3.0,7.0,12.0,3.0,3.0,6.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,0.0,2.0,3.0,3.0,3.0,3.0,8.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,8.0,4.0,1.0,1.0,3.0,1.0,1.0,8.0,1.0,3.0,1.0,0.0,1.0
535,0.623345017,-0.14127314800000002,0.36977491,0.914743235,0.5151910439999999,0.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,4.0,4.0,7.0,2.0,5.0,3.0,6.0,5.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,3.0,3.0,4.0,0.0,1.0,3.0,3.0,3.0,3.0,8.0,5.0,6.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,7.0,12.0,1.0,1.0,3.0,1.0,3.0,7.0,6.0,4.0,1.0,1.0,0.0
536,0.926733017,0.757265502,0.580245484,0.9586054620000001,0.8366205809999999,0.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,7.0,3.0,4.0,7.0,5.0,4.0,4.0,6.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0,3.0,2.0,7.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,8.0,1.0,1.0,1.0,2.0,1.0,1.0,8.0,1.0,3.0,1.0,0.0,0.0
537,0.487262994,0.593894838,1.043280748,0.7392943270000001,0.91225106,1.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,9.0,3.0,4.0,9.0,3.0,5.0,4.0,6.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,0.0,1.0,3.0,3.0,3.0,3.0,8.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,8.0,2.0,1.0,1.0,3.0,1.0,1.0,8.0,4.0,3.0,1.0,1.0,0.0
538,0.37066900700000005,0.67558017,0.7065278290000001,0.6954321,0.760990101,0.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,7.0,2.0,3.0,7.0,6.0,5.0,4.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,8.0,4.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,3.0,6.0,4.0,4.0,1.0,1.0,1.0
539,0.541154981,0.67558017,0.033021991,0.914743235,0.553006283,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,7.0,2.0,3.0,8.0,2.0,6.0,3.0,5.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,0.0,2.0,3.0,3.0,3.0,2.0,7.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,7.0,2.0,1.0,1.0,2.0,1.0,1.0,8.0,1.0,4.0,1.0,0.0,0.0
540,1.49735105,0.10378284800000001,-0.009072124,0.6292659310000001,-0.694896625,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,7.0,3.0,3.0,7.0,1.0,6.0,3.0,6.0,4.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,0.0,2.0,3.0,3.0,2.0,2.0,7.0,1.0,6.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,7.0,1.0,1.0,1.0,2.0,1.0,3.0,8.0,2.0,3.0,1.0,0.0,0.0
541,0.640820026,1.165692161,0.159304336,0.8270187809999999,0.685359622,0.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,7.0,2.0,4.0,7.0,1.0,5.0,3.0,6.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,7.0,9.0,7.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,8.0,1.0,1.0,1.0,3.0,1.0,3.0,6.0,6.0,3.0,1.0,1.0,1.0
542,1.58751297,1.410748156,1.043280748,1.353365505,1.366033936,0.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,9.0,1.0,4.0,9.0,2.0,6.0,4.0,6.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,0.0,1.0,3.0,3.0,3.0,3.0,8.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,9.0,3.0,1.0,1.0,2.0,1.0,3.0,8.0,5.0,3.0,1.0,1.0,0.0
543,1.317234993,0.022097516,0.664433714,-0.971332526,-0.127668031,0.0,0.0,1.0,1.0,1.0,0.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,7.0,3.0,3.0,7.0,6.0,5.0,4.0,6.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,0.0,1.0,2.0,3.0,3.0,3.0,7.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,12.0,1.0,1.0,1.0,1.0,3.0,6.0,12.0,3.0,1.0,0.0,0.0
544,0.437014014,0.920636165,0.36977491,0.651569873,0.6475443820000001,0.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,7.0,2.0,3.0,7.0,3.0,3.0,3.0,6.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,0.0,2.0,3.0,3.0,3.0,3.0,7.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,8.0,8.0,1.0,1.0,2.0,1.0,3.0,8.0,8.0,4.0,1.0,1.0,1.0
545,1.061185002,0.593894838,0.832810174,1.177916597,1.006789159,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,7.0,1.0,4.0,7.0,1.0,4.0,3.0,6.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,2.0,4.0,0.0,1.0,3.0,3.0,3.0,3.0,7.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,8.0,2.0,1.0,1.0,2.0,1.0,1.0,9.0,1.0,3.0,1.0,0.0,0.0
546,1.3848689790000002,0.67558017,0.959092518,0.6954321,0.87443582,0.0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,8.0,3.0,4.0,8.0,13.0,5.0,4.0,6.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,0.0,1.0,2.0,2.0,2.0,2.0,8.0,1.0,5.0,4.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,6.0,12.0,1.0,1.0,2.0,1.0,3.0,5.0,12.0,3.0,1.0,1.0,0.0
548,1.014557958,0.593894838,0.580245484,0.8270187809999999,0.742082481,0.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,8.0,2.0,3.0,8.0,6.0,5.0,4.0,6.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,3.0,4.0,0.0,1.0,3.0,3.0,3.0,3.0,8.0,1.0,5.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,8.0,2.0,1.0,1.0,2.0,1.0,3.0,7.0,2.0,3.0,1.0,1.0,1.0
549,1.2988209720000001,0.593894838,1.043280748,1.221778824,1.120234878,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,9.0,3.0,4.0,9.0,2.0,5.0,4.0,6.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,0.0,1.0,3.0,3.0,3.0,3.0,8.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,7.0,8.0,1.0,1.0,2.0,1.0,3.0,8.0,5.0,3.0,1.0,1.0,1.0
554,0.821991026,1.084006829,0.959092518,1.177916597,1.176957737,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,1.0,4.0,9.0,12.0,7.0,4.0,6.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,0.0,1.0,2.0,2.0,2.0,2.0,7.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,7.0,2.0,1.0,1.0,2.0,1.0,3.0,8.0,4.0,3.0,1.0,1.0,1.0
559,0.746834993,0.879793499,0.411869025,0.9586054620000001,0.789351531,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,6.0,2.0,3.0,7.0,4.0,4.0,3.0,6.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,12.0,1.0,1.0,1.0,2.0,3.0,3.0,12.0,3.0,1.0,0.0,0.0
560,1.923069954,1.165692161,0.832810174,1.177916597,1.139142498,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,4.0,7.0,4.0,3.0,8.0,3.0,5.0,2.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0,2.0,3.0,7.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,4.0,8.0,1.0,1.0,2.0,1.0,3.0,7.0,6.0,3.0,1.0,1.0,0.0
567,0.988951027,0.757265502,0.45396314,0.9586054620000001,0.779897721,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,8.0,3.0,3.0,8.0,2.0,5.0,3.0,6.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,0.0,1.0,2.0,2.0,2.0,2.0,8.0,1.0,5.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,5.0,8.0,1.0,1.0,3.0,1.0,3.0,6.0,12.0,3.0,1.0,1.0,1.0
568,0.458041996,0.022097516,0.11721022099999999,0.34453428399999997,0.19376150600000003,0.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,10.0,3.0,4.0,10.0,13.0,7.0,3.0,6.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,1.0,1.0,2.0,2.0,3.0,3.0,9.0,2.0,6.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,4.0,12.0,1.0,1.0,2.0,1.0,3.0,6.0,13.0,3.0,1.0,0.0,0.0
570,0.7620819809999999,0.593894838,-0.135354468,0.7831565540000001,0.401745325,0.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,7.0,1.0,4.0,7.0,6.0,7.0,4.0,6.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,0.0,2.0,2.0,2.0,2.0,2.0,7.0,6.0,7.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,9.0,4.0,1.0,1.0,3.0,1.0,3.0,6.0,12.0,3.0,1.0,1.0,1.0
572,0.32469400800000003,1.165692161,0.622339599,0.8270187809999999,0.89334344,0.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,10.0,1.0,4.0,9.0,3.0,5.0,4.0,6.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,0.0,2.0,3.0,3.0,3.0,3.0,9.0,4.0,6.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,8.0,1.0,1.0,1.0,2.0,2.0,1.0,7.0,1.0,3.0,1.0,1.0,1.0
573,0.563291013,0.430524175,0.24349256600000002,1.0024676890000002,0.6286367629999999,0.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,3.0,3.0,2.0,8.0,2.0,4.0,8.0,5.0,7.0,4.0,6.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,0.0,1.0,3.0,3.0,3.0,3.0,8.0,12.0,5.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,7.0,8.0,1.0,1.0,2.0,1.0,3.0,7.0,6.0,3.0,1.0,0.0,1.0
578,1.464988947,0.838950834,0.8749042890000001,1.265641051,1.120234878,0.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,8.0,1.0,4.0,8.0,1.0,5.0,4.0,4.0,4.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,0.0,1.0,3.0,3.0,3.0,3.0,9.0,1.0,5.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,4.0,8.0,1.0,1.0,2.0,1.0,3.0,6.0,7.0,3.0,1.0,1.0,1.0
580,1.203279018,1.002321497,0.11721022099999999,1.046329916,0.723174862,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,7.0,2.0,3.0,8.0,4.0,6.0,3.0,6.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,8.0,4.0,6.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,6.0,8.0,1.0,1.0,2.0,1.0,3.0,7.0,12.0,3.0,1.0,1.0,1.0
581,0.267625988,0.757265502,0.24349256600000002,1.19984771,0.789351531,0.0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,7.0,3.0,4.0,7.0,6.0,7.0,4.0,6.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,8.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,6.0,8.0,1.0,1.0,3.0,1.0,3.0,3.0,12.0,3.0,1.0,1.0,1.0
583,-0.917936027,0.838950834,0.11721022099999999,0.9586054620000001,0.6475443820000001,1.0,0.0,1.0,1.0,1.0,0.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,8.0,4.0,3.0,7.0,6.0,5.0,3.0,6.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,0.0,1.0,2.0,2.0,3.0,3.0,8.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,13.0,3.0,0.0,0.0,0.0
584,1.330554008,0.512209507,0.959092518,1.221778824,1.063512019,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,4.0,7.0,2.0,3.0,8.0,3.0,3.0,3.0,6.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,3.0,2.0,3.0,8.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,7.0,8.0,1.0,1.0,2.0,1.0,3.0,7.0,7.0,3.0,1.0,0.0,0.0
