,coefficient
w2bd02.3,-4.57623E+12
w2bd02.1,-4.57623E+12
w2bd02.2,-4.57623E+12
w2bd02,-4.57623E+12
w2a2101b.2,-6.32642E+12
w2a2101b.1,-6.32642E+12
w2a2101b,-6.32642E+12
w2a2002,-6.83083E+12
w2a2002.1,-6.83083E+12
w2a2002.2,-6.83083E+12
w2a29,-7.00458E+12
w2a29.2,-7.00458E+12
w2a29.1,-7.00458E+12
w2a29.3,-7.00458E+12
w2a29.4,-7.00458E+12
w2a28.3,-8.37074E+12
w2a28.2,-8.37074E+12
w2a28.1,-8.37074E+12
w2a28,-8.37074E+12
w2a2103a,-8.7798E+12
w2a2103a.2,-8.7798E+12
w2a2103a.1,-8.7798E+12
w2a23,-8.8588E+12
w2a23.1,-8.8588E+12
w2a23.2,-8.8588E+12
w2a22,-1.04634E+13
w2a22.1,-1.04634E+13
w2a22.2,-1.04634E+13
w2be08.2,-1.14811E+13
w2be08,-1.14811E+13
w2be08.1,-1.14811E+13
