w2a01,w2a03,w2a05,w2a0801,w2a16,w2a17,w2stdtotal
1,0,1,1,1,0,0.836620581
0,0,0,1,1,0,0.148679501
1,0,1,1,1,0,-0.335651849
1,1,1,1,1,0,0.118131027
0,0,0,1,1,0,0.583554757
1,0,1,1,1,0,0.458468184
1,0,1,1,1,0,0.723174862
1,0,1,1,1,0,0.779897721
0,0,0,1,1,0,-0.619266146
1,0,1,1,1,0,0.375570939
1,0,1,1,1,0,0.496283424
0,0,0,1,1,0,-0.392374708
0,0,0,1,1,0,1.025696779
1,0,0,0,1,0,-0.543635667
1,0,0,0,1,0,-0.260021369
0,0,0,1,1,0,-0.562543287
0,0,1,1,1,0,-0.543635667
1,0,1,1,1,0,1.120234878
0,0,0,1,1,0,0.439560564
0,0,0,1,1,0,0.101825211
1,0,1,1,1,0,1.412871026
0,0,0,1,1,0,-2.441995028
1,0,1,1,1,0,1.138921154
1,0,1,1,1,0,-0.583049469
1,0,1,1,0,0,1.119353306
1,0,1,1,1,0,-0.680888709
0,0,0,1,1,0,-0.289531749
0,0,1,1,1,1,0.365763389
0,0,0,1,1,0,1.17805685
0,0,1,1,1,0,0.923674826
1,0,1,1,0,1,1.27589609
1,0,1,1,1,0,0.98237837
0,0,0,1,1,0,-0.817863645
0,0,1,1,1,0,0.512750018
0,0,1,1,1,0,1.236760394
0,0,1,0,1,0,0.043121667
1,0,1,0,1,0,0.277935843
1,0,1,1,1,,-0.211260357
0,0,1,1,1,0,0.238800147
1,0,1,1,1,0,1.412871026
1,0,1,1,1,0,-0.661320861
0,0,0,1,1,0,0.199664451
0,0,1,0,0,1,0.29750369
1,0,1,1,0,0,-0.172124661
0,0,0,1,1,0,0.49318217
0,0,0,1,1,0,-0.993974277
0,0,1,1,1,0,0.219232299
1,0,1,1,1,0,1.334599634
1,0,0,1,1,0,-0.896135037
,0,0,1,1,1,0.228788453
1,1,1,1,1,1,0.052677821
0,0,1,0,1,0,-0.426506685
0,0,0,1,1,0,0.78669989
0,0,0,1,0,0,0.727996346
0,0,1,1,1,0,0.88453913
1,0,1,0,1,0,-2.305020092
0,0,1,1,1,0,-0.172124661
0,0,0,1,1,0,-0.543913773
1,0,1,1,1,0,1.510710266
0,0,1,1,1,0,1.001946218
1,1,1,1,1,0,-0.113421117
0,0,1,1,1,0,-0.367803141
0,0,0,0,0,1,0.444034781
1,0,1,1,0,0,0.180096603
1,0,1,0,0,1,0.317071538
0,0,1,1,1,0,0.023553819
0,0,1,0,1,0,-0.622185165
1,0,0,1,1,0,0.473614322
0,0,0,1,1,0,0.140960907
0,0,1,0,1,1,0.258367995
1,0,0,1,1,0,0.669292802
0,0,0,1,1,0,0.723544017
1,0,1,1,1,0,0.94435297
1,0,1,1,1,0,0.488934504
0,0,0,1,1,0,0.295726671
1,0,0,1,1,0,0.212923313
0,0,0,1,1,0,0.088718277
0,0,1,1,1,0,0.157721075
0,0,0,1,1,0,0.171521635
0,0,1,1,1,0,-0.518506343
0,0,0,1,1,0,0.723544017
0,0,1,1,1,0,0.074917718
1,0,1,1,1,0,0.557937302
0,0,1,1,1,0,0.419931707
0,0,1,1,1,0,0.682142338
0,0,0,1,1,0,-0.352899629
0,0,1,1,1,0,0.061117158
0,0,0,1,1,0,1.165161923
0,0,1,1,1,0,-0.62891082
1,0,1,1,1,0,0.143920515
0,0,0,1,1,0,-0.173492354
0,0,0,1,1,0,0.677753346
0,0,1,1,1,0,0.171521635
0,0,1,1,1,0,0.833948493
0,0,0,1,1,0,0.695942898
0,0,0,1,1,0,-0.256295712
0,0,0,1,0,1,-0.504705784
0,0,0,1,1,0,0.070528726
0,0,1,1,1,0,0.263736559
0,1,1,1,1,0,0.401742155
0,0,1,1,1,0,0.778746255
1,0,1,1,1,0,0.212923313
0,0,0,1,1,0,0.447532826
0,0,1,1,1,0,-0.835919213
0,0,1,1,1,0,0.033516039
0,0,0,1,1,0,-0.490905224
1,0,1,1,1,0,-0.753115856
1,0,0,0,1,0,-0.035486759
1,0,0,1,1,0,0.268125551
1,0,0,1,1,0,0.847749053
0,0,1,1,1,0,-0.408101867
1,0,1,0,1,,1.26176584
0,0,0,1,1,0,-0.090688997
0,0,0,0,1,0,-0.32529851
0,0,1,0,1,0,-0.352899629
0,0,1,1,1,0,1.151361363
0,0,1,1,1,0,0.475133945
0,0,1,1,1,0,0.212923313
1,0,1,1,1,0,-0.035486759
1,0,1,1,1,0,-0.228694593
1,0,0,0,1,0,0.32332779
1,0,1,1,1,0,0.861549612
0,0,0,1,1,0,-0.725514737
0,0,0,1,1,0,0.157721075
0,0,1,1,1,0,0.705354465
0,0,0,1,1,0,-0.090688997
0,0,0,1,1,0,-0.394301307
1,0,1,1,1,0,0.916751851
0,0,0,1,1,0,-0.214894033
1,0,0,0,1,0,-0.132090676
0,0,0,1,1,0,0.212923313
0,0,0,1,1,0,1.027156327
1,0,1,1,1,0,0.723544017
0,0,0,1,1,0,-0.132090676
1,0,1,1,1,0,-0.463304105
0,0,1,1,1,0,0.171521635
1,1,1,1,1,0,0.530336183
0,0,0,1,1,0,0.88476174
1,0,1,1,1,0,0.350928909
1,0,1,1,1,0,-0.780716975
0,0,0,1,1,0,0.995166216
1,1,1,1,0,0,-0.29769739
1,0,1,1,1,0,0.061451594
1,0,1,1,1,0,0.197051901
0,0,0,1,1,0,-0.974041663
0,0,1,1,1,0,0.183605775
0,0,0,1,1,0,0.072660069
0,0,1,1,1,0,-0.850768657
1,0,0,1,1,0,-0.653531846
1,0,1,1,0,0,0.023350866
1,0,1,1,0,0,1.146254054
1,0,1,1,1,0,0.060332768
0,0,0,1,1,0,0.801089635
1,1,1,1,1,0,0.232914978
0,0,1,1,1,0,-0.086476014
0,0,1,1,0,1,0.788762334
1,0,1,1,1,0,-0.024839511
1,0,1,1,1,0,0.381961412
1,0,1,1,1,0,0.295670307
0,0,1,1,1,0,0.973671844
0,0,1,1,1,0,0.554543621
1,1,1,1,0,1,0.801089635
1,0,0,1,1,0,0.184724601
0,0,0,1,1,0,-0.382331231
0,0,0,1,1,0,0.184724601
0,0,0,1,1,0,0.751780432
0,0,1,1,1,0,0.283343006
1,0,1,1,1,0,0.813416935
0,0,1,1,1,0,0.54221632
1,0,0,1,1,0,0.579198223
0,0,1,1,1,0,0.208260376
1,0,1,1,1,0,0.516442893
0,0,0,1,1,0,-0.924732461
0,0,1,1,1,0,-0.074148714
0,0,0,1,1,0,-0.493276937
0,0,1,1,1,0,0.084987369
1,0,1,1,0,1,0.319206082
1,0,1,1,1,0,0.406616013
0,0,1,1,1,0,-0.752150251
1,,1,1,1,0,0.306878782
0,0,1,1,1,0,0.393169886
1,0,1,1,1,1,0.307997608
1,0,1,1,1,0,-0.813786754
0,0,1,1,1,0,0.035678167
0,0,0,1,1,0,-0.296040126
1,0,0,1,1,0,-0.246730923
0,0,1,1,1,0,0.702471229
1,0,1,1,0,0,0.332652209
0,0,1,0,1,1,0.443597915
0,0,1,1,1,0,0.110760797
1,0,0,1,0,1,0.653162027
0,0,1,1,0,0,0.35730681
0,0,1,1,1,0,0.036796993
1,1,1,0,1,1,0.418943314
0,0,1,1,1,0,0.838071537
1,0,0,1,1,0,0.838071537
1,0,1,1,1,0,0.307997608
0,0,1,1,1,0,-0.73982295
1,0,1,1,0,1,0.1723973
0,0,0,1,1,0,0.443597915
0,0,1,1,1,0,-0.801459454
0,0,1,1,0,1,0.34497951
1,0,1,1,1,0,0.369634111
1,0,1,1,1,0,0.012142391
0,0,1,1,1,0,0.369634111
0,0,1,1,1,0,0.764107733
1,0,1,1,1,0,0.838071537
0,0,1,1,1,0,0.258688405
1,0,1,1,1,0,0.517561719
1,0,1,1,1,0,0.369634111
0,0,1,1,1,0,0.073778895
0,0,1,1,1,0,0.135415398
0,0,1,1,1,0,-0.049494112
0,0,1,1,1,0,-0.468622335
1,0,0,1,1,0,-0.690513748
0,0,0,1,1,0,-0.01251221
0,0,0,1,1,0,0.912035341
0,0,0,1,1,0,-0.937059761
0,0,0,0,1,1,0.566870922
0,0,0,1,1,0,0.018306042
0,0,0,1,1,0,0.468252516
0,0,0,1,1,0,-0.764477552
0,0,0,1,1,0,0.640834726
0,0,1,0,0,1,0.27606053
0,0,0,0,1,1,-0.863095957
0,0,1,1,1,0,0.591525523
0,0,1,1,0,1,-0.092639665
0,0,0,1,1,0,0.320324908
0,0,1,1,1,0,-0.271385524
1,0,1,1,1,0,-0.73982295
0,0,1,1,1,0,-0.320694727
1,0,1,1,1,0,0.418943314
0,0,0,1,1,0,-0.641204545
1,0,1,1,1,0,0.443597915
1,0,1,1,1,0,0.813416935
0,0,0,1,1,0,0.579198223
0,0,0,0,0,1,-0.333022028
0,0,0,1,1,0,-0.511767888
1,0,1,1,1,0,-0.086476014
1,0,0,1,1,0,0.1723973
0,0,0,1,0,1,-0.591895342
1,0,0,1,0,0,0.665489327
0,0,1,1,1,0,0.949017243
1,0,1,1,1,0,0.88738074
0,0,0,1,1,0,0.418943314
0,0,1,1,1,0,1.343490865
0,0,0,1,1,0,0.603852824
1,0,1,1,1,0,0.455925216
0,0,1,1,1,0,0.739453131
1,1,1,1,0,1,-0.530258839
1,0,1,1,1,0,0.073778895
0,0,0,1,1,0,0.123088097
0,0,0,1,1,0,0.443597915
1,0,1,1,1,0,0.52988902
1,0,1,1,1,0,0.924362642
0,0,0,1,1,0,0.82462541
0,0,1,1,1,0,0.227870153
0,0,0,1,1,0,-0.838441356
0,0,1,1,1,0,0.622343775
0,0,1,1,1,0,0.018306042
0,0,0,1,1,0,-0.308367427
0,0,1,1,1,0,-0.616549944
0,0,1,1,1,0,0.104597146
1,0,1,1,1,0,0.936689942
0,0,0,1,1,0,-0.382331231
1,,1,1,0,0,0.936689942
0,0,0,0,0,0,0.121969271
0,0,0,0,1,0,-0.493276937
0,0,0,1,1,0,0.640834726
1,0,1,1,1,0,-0.135785217
0,0,0,0,1,1,-0.961714363
1,0,1,1,1,0,0.197051901
0,0,1,1,1,0,0.825744236
1,0,0,1,1,0,0.480579817
0,0,0,1,1,0,-0.443967734
0,0,0,1,1,0,0.666452002
0,0,0,0,1,1,0.886076675
0,0,0,1,1,0,0.609729143
0,0,0,1,1,0,0.326114845
0,0,0,1,1,0,0.526831898
0,0,0,1,1,0,0.099223407
0,0,0,1,1,0,1.120234878
0,0,0,1,1,0,1.366033936
0,0,0,1,1,0,0.307207225
0,0,0,1,1,0,0.760990101
0,0,1,0,1,0,1.025696779
,0,0,1,1,0,-0.373467088
0,0,0,1,0,0,0.742082481
0,0,1,1,1,0,1.328218696
0,0,1,1,1,0,0.269391986
0,0,0,1,1,0,0.9500663
0,0,0,1,1,0,-0.297836609
0,0,1,1,1,0,-0.20329851
0,0,0,1,1,0,1.195865357
0,0,0,1,1,0,0.363930085
0,0,1,1,1,0,0.023592928
0,0,1,1,0,0,0.571913903
0,0,1,1,1,0,0.980614774
0,0,0,1,1,0,0.609729143
0,,0,1,1,0,1.082419638
0,0,0,0,1,0,-0.108760411
0,0,0,1,1,0,1.044604399
0,0,0,1,1,0,-0.638173766
0,0,1,0,1,0,0.93115868
0,0,0,1,1,0,0.307207225
0,0,0,1,1,0,1.139142498
1,0,1,1,1,0,0.515191044
0,0,1,1,1,0,0.91225106
0,0,0,1,1,0,-0.335651849
0,0,0,1,1,0,0.269391986
0,0,1,1,1,0,-2.094060493
0,0,1,1,1,0,0.647544382
0,0,1,1,,,0.571913903
0,0,0,1,1,0,-0.24111375
0,0,0,1,1,0,0.250484366
0,0,1,1,1,0,0.987881539
1,0,0,1,1,0,0.515191044
0,0,0,1,1,0,0.836620581
0,0,1,1,1,0,0.609729143
0,0,0,1,0,1,0.137038647
0,0,0,1,1,0,0.779897721
0,1,0,1,1,0,1.025696779
0,0,0,0,1,0,1.158050118
0,0,0,1,1,0,1.101327258
1,0,1,1,1,0,0.760990101
0,0,0,1,0,0,1.233680597
0,0,1,1,1,0,-2.41549003
0,0,0,1,1,0,-0.14657565
0,0,1,0,0,1,0.28103284
0,,0,1,1,0,0.9500663
0,0,0,1,1,0,0.118131027
0,0,0,1,1,0,1.309311076
0,0,1,1,1,0,0.326114845
0,0,0,1,1,0,1.233680597
0,0,0,1,1,0,1.176957737
0,0,0,1,1,0,0.212669126
0,0,0,1,1,0,1.006789159
0,0,0,1,1,0,0.987881539
0,0,0,1,1,0,0.9500663
0,0,0,1,1,0,-0.713804245
0,0,0,1,1,0,0.356663319
0,0,0,1,1,0,1.158050118
0,0,0,1,1,0,0.89334344
0,0,0,1,1,0,1.139142498
0,0,0,1,1,0,1.233680597
0,0,0,1,1,0,0.779897721
0,0,1,1,1,0,0.886076675
0,0,0,1,1,0,0.432293799
0,0,0,1,0,0,1.252588217
0,0,0,1,1,0,0.3377557
0,0,0,1,1,0,0.628636763
0,0,0,1,1,0,1.044604399
0,0,0,1,1,0,1.195865357
0,0,0,1,1,0,0.968973919
0,0,0,0,1,0,0.458468184
